name,sido,sigg,parcels,lat,lng,near_canoe
[상수원보호] 경상남도 남해군 #2,경상남도,남해군,4,34.8694899,127.8681087,False
[상수원보호] 경상남도 남해군 #3,경상남도,남해군,2,34.8184096,127.9997949,False
[상수원보호] 경상남도 남해군 #4,경상남도,남해군,1,34.8541419,127.8666308,False
[상수원보호] 경상남도 남해군 #5,경상남도,남해군,1,34.7979001,127.8922054,False
[상수원보호] 경상남도 남해군 #6,경상남도,남해군,1,34.7953086,127.9876913,False
[상수원보호] 경상남도 남해군 #7,경상남도,남해군,1,34.7698374,127.8879925,False
[상수원보호] 경상남도 남해군 #8,경상남도,남해군,1,34.7448074,128.0307524,False
[상수원보호] 경상남도 남해군 #9,경상남도,남해군,1,34.8845224,127.857429,False
[상수원보호] 경상남도 남해군 #10,경상남도,남해군,3,34.7580088,128.0513631,False
[상수원보호] 경상남도 남해군 #11,경상남도,남해군,1,34.7854869,127.9057821,False
[상수원보호] 경상남도 남해군 #12,경상남도,남해군,1,34.7327443,128.0156662,False
[상수원보호] 경상남도 남해군 #13,경상남도,남해군,1,34.8642768,127.9847698,False
[상수원보호] 경상남도 밀양시 #1,경상남도,밀양시,1,35.5286823,128.7716979,False
[상수원보호] 경상남도 밀양시 #2,경상남도,밀양시,1,35.4745639,128.9428863,False
[상수원보호] 경상남도 사천시,경상남도,사천시,13,35.1137593,127.9776314,False
[상수원보호] 경상남도 산청군 #1,경상남도,산청군,3,35.4904849,127.828422,False
[상수원보호] 경상남도 산청군 #2,경상남도,산청군,1,35.2844287,127.9610089,False
[상수원보호] 경상남도 산청군 #3,경상남도,산청군,3,35.3456712,127.9339877,False
[상수원보호] 경상남도 산청군 #4,경상남도,산청군,2,35.2728468,127.964373,False
[상수원보호] 경상남도 양산시 #1,경상남도,양산시,1,35.350697,129.1075672,False
[상수원보호] 경상남도 양산시 #2,경상남도,양산시,1,35.3130515,129.0999923,False
[상수원보호] 경상남도 양산시 #3,경상남도,양산시,1,35.4653769,128.9732606,False
[상수원보호] 경상남도 양산시 #4,경상남도,양산시,1,35.4949332,128.9888751,False
[상수원보호] 경상남도 양산시 #5,경상남도,양산시,1,35.354639,129.1219794,False
[상수원보호] 경상남도 의령군,경상남도,의령군,1,35.3651519,128.2239368,False
[상수원보호] 경상남도 진주시 #1,경상남도,진주시,1521,35.199368,127.99089,False
[상수원보호] 경상남도 진주시 #2,경상남도,진주시,1,35.1704488,127.9271025,False
[상수원보호] 경상남도 진주시 #3,경상남도,진주시,3,35.1807022,128.0723053,False
[상수원보호] 경상남도 진주시 #4,경상남도,진주시,1,35.2324739,128.1042503,False
[상수원보호] 경상남도 진주시 #5,경상남도,진주시,1,35.1899479,127.9073711,False
[상수원보호] 경상남도 진주시 #6,경상남도,진주시,1,35.2163521,127.9146313,False
[상수원보호] 경상남도 진주시 #7,경상남도,진주시,1,35.1338502,127.8425057,False
[상수원보호] 경상남도 진주시 #8,경상남도,진주시,1,35.2058465,128.0382063,False
[상수원보호] 경상남도 진주시 #9,경상남도,진주시,1,35.2000455,128.1736214,False
[상수원보호] 경상남도 창녕군,경상남도,창녕군,1,35.55636,128.5401043,False
[상수원보호] 경상남도 창원시,경상남도,창원시,1,35.1705821,128.7241092,False
[상수원보호] 경상남도 통영시,경상남도,통영시,1,34.6363861,128.2514117,False
[상수원보호] 경상남도 하동군 #1,경상남도,하동군,10,35.174593,127.8533633,False
[상수원보호] 경상남도 하동군 #3,경상남도,하동군,1,35.0021866,127.8731153,False
[상수원보호] 경상남도 함안군 #1,경상남도,함안군,1,35.2100923,128.4121306,False
[상수원보호] 경상남도 함안군 #2,경상남도,함안군,1,35.2187409,128.3810394,False
[상수원보호] 경상남도 함양군 #1,경상남도,함양군,1,35.5304778,127.6974977,False
[상수원보호] 경상남도 함양군 #2,경상남도,함양군,1,35.6478769,127.8016232,False
[상수원보호] 경상남도 합천군 #1,경상남도,합천군,1,35.531566,128.1009982,False
[상수원보호] 경상남도 합천군 #2,경상남도,합천군,1,35.5722099,128.2852026,False
[상수원보호] 경상북도 경산시,경상북도,경산시,2,35.8611941,128.7443032,False
[상수원보호] 경상북도 경주시 #1,경상북도,경주시,1,35.7637551,128.9789851,False
[상수원보호] 경상북도 경주시 #2,경상북도,경주시,1,35.8338453,129.0796304,False
