mnum,name,sido,sigg,dyear,dnum,lat,lng
53100004817020040000UMI1000001291,상수원보호구역,경상남도,진주시,2004,0000,35.1910096,128.0066718
53100004817019840000UMI1000001177,상수원보호구역,경상남도,진주시,1984,0000,35.2275035,127.9645564
53100004817020040608UMI1000001001,상수원보호구역,경상남도,진주시,2004,0608,35.2532028,127.984093
53100004817020040346UMI1000001001,상수원보호구역,경상남도,진주시,2004,0346,35.1701814,128.014871
53100004817020040000UMI1000001180,상수원보호구역,경상남도,진주시,2004,0000,35.2305442,127.950071
53100004817020041067UMI1000001001,상수원보호구역,경상남도,진주시,2004,1067,35.2147887,127.9702217
53100004817020040000UMI1000001319,상수원보호구역,경상남도,진주시,2004,0000,35.1720244,127.9805762
53100004817020040142UMI1000001001,상수원보호구역,경상남도,진주시,2004,0142,35.1744366,127.9904151
53100004817020041222UMI1000001001,상수원보호구역,경상남도,진주시,2004,1222,35.2184317,127.9610884
53100004817020040805UMI1000001001,상수원보호구역,경상남도,진주시,2004,0805,35.2071105,127.9930928
53100004817020040000UMI1000001005,상수원보호구역,경상남도,진주시,2004,0000,35.2661995,127.9928779
53100004817020041226UMI1000001001,상수원보호구역,경상남도,진주시,2004,1226,35.2196026,127.9721315
