mnum,name,sido,sigg,dyear,dnum,lat,lng
14800004824020160213UMI1000003010,상수원보호구역,경상남도,사천시,2016,0213,35.1130861,127.9837852
14800004824020160213UMI1000005003,상수원보호구역,경상남도,사천시,2016,0213,35.1385215,127.9789528
14800004824020160213UMI1000003016,상수원보호구역,경상남도,사천시,2016,0213,35.1198643,127.969156
14800004824020160213UMI1000003021,상수원보호구역,경상남도,사천시,2016,0213,35.1465278,127.9711205
14800004824020160213UMI1000003019,상수원보호구역,경상남도,사천시,2016,0213,35.1553208,127.9760241
14800004824020160213UMI1000003004,상수원보호구역,경상남도,사천시,2016,0213,35.1415032,127.9910935
14800004824020160213UMI1000005001,상수원보호구역,경상남도,사천시,2016,0213,35.1536953,127.9592709
14800004824020160213UMI1000003017,상수원보호구역,경상남도,사천시,2016,0213,35.1206449,127.9695842
15000004886000000000UMI1000000009,상수원보호구역,경상남도,산청군,0000,0000,35.4904849,127.828422
15000004886000000000UMI1000000003,상수원보호구역,경상남도,산청군,0000,0000,35.2844287,127.9610089
15000004886000000000UMI1000000015,상수원보호구역,경상남도,산청군,0000,0000,35.3413068,127.9388683
15000004886000000000UMI1000000010,상수원보호구역,경상남도,산청군,0000,0000,35.4891768,127.8279345
15000004886000000000UMI1000000016,상수원보호구역,경상남도,산청군,0000,0000,35.4903604,127.8334677
15000004886000000000UMI1000000006,상수원보호구역,경상남도,산청군,0000,0000,35.3456712,127.9339877
15000004886000000000UMI1000000013,상수원보호구역,경상남도,산청군,0000,0000,35.2721673,127.958465
15000004886000000000UMI1000000008,상수원보호구역,경상남도,산청군,0000,0000,35.3476096,127.9340845
15000004886000000000UMI1000000004,상수원보호구역,경상남도,산청군,0000,0000,35.2441433,127.9497189
15000004886000000000UMI1000000001,상수원보호구역,경상남도,산청군,0000,0000,35.2527279,127.9640032
15000004886000000000UMI1000000002,상수원보호구역,경상남도,산청군,0000,0000,35.2728468,127.964373
14800004833020050003UMI1000001001,상수원보호구역,경상남도,양산시,2005,0003,35.350697,129.1075672
14800004833020050001UMI1000001001,상수원보호구역,경상남도,양산시,2005,0001,35.3130515,129.0999923
53800004833020060001UMI1000001001,상수원보호구역,경상남도,양산시,2006,0001,35.4653769,128.9732606
53800004833020000498UMI1000001001,상수원보호구역,경상남도,양산시,2000,0498,35.4949332,128.9888751
14800004833020050002UMI1000001001,상수원보호구역,경상남도,양산시,2005,0002,35.354639,129.1219794
14800004872020050001UMI1000001001,상수원보호구역,경상남도,의령군,2005,0001,35.3651519,128.2239368
53100004817020040000UMI1000001215,상수원보호구역,경상남도,진주시,2004,0000,35.2287578,127.9852671
53100004817020041020UMI1000001001,상수원보호구역,경상남도,진주시,2004,1020,35.2368095,127.9718662
53100004817020041220UMI1000001001,상수원보호구역,경상남도,진주시,2004,1220,35.2082619,127.9736071
53100004817020041028UMI1000001001,상수원보호구역,경상남도,진주시,2004,1028,35.2307107,127.9634515
53100004817020040761UMI1000001001,상수원보호구역,경상남도,진주시,2004,0761,35.2430166,127.9488398
53100004817020040061UMI1000001001,상수원보호구역,경상남도,진주시,2004,0061,35.1906336,127.9556922
53100004817020040253UMI1000001001,상수원보호구역,경상남도,진주시,2004,0253,35.1701783,128.0197526
53100004817020040141UMI1000001001,상수원보호구역,경상남도,진주시,2004,0141,35.173455,127.9713127
53100004817020040147UMI1000001001,상수원보호구역,경상남도,진주시,2004,0147,35.1680507,127.9729615
53100004817020040145UMI1000001001,상수원보호구역,경상남도,진주시,2004,0145,35.170413,127.971365
53100004817020040927UMI1000001001,상수원보호구역,경상남도,진주시,2004,0927,35.2367707,127.9908717
53100004817020040000UMI1000001095,상수원보호구역,경상남도,진주시,2004,0000,35.2479076,127.979979
53100004817020040856UMI1000001001,상수원보호구역,경상남도,진주시,2004,0856,35.1862578,127.9731957
53100004817020040292UMI1000001001,상수원보호구역,경상남도,진주시,2004,0292,35.154182,128.0184884
53100004817020041184UMI1000001001,상수원보호구역,경상남도,진주시,2004,1184,35.1605316,127.9885784
53100004817020041209UMI1000001001,상수원보호구역,경상남도,진주시,2004,1209,35.1861625,127.9717703
53100004817020040726UMI1000001001,상수원보호구역,경상남도,진주시,2004,0726,35.2021732,128.0128831
53100004817020040128UMI1000001001,상수원보호구역,경상남도,진주시,2004,0128,35.1722754,127.9838581
53100004817020040378UMI1000001001,상수원보호구역,경상남도,진주시,2004,0378,35.1687857,128.0143149
53100004817020041214UMI1000001001,상수원보호구역,경상남도,진주시,2004,1214,35.2121277,127.9775009
53100004817020040808UMI1000001001,상수원보호구역,경상남도,진주시,2004,0808,35.1923649,127.9777587
53100004817020040858UMI1000001001,상수원보호구역,경상남도,진주시,2004,0858,35.1870761,127.9740473
53100004817020041130UMI1000001001,상수원보호구역,경상남도,진주시,2004,1130,35.1697348,128.0396881
53100004817020040048UMI1000001001,상수원보호구역,경상남도,진주시,2004,0048,35.19496,127.9839113
53100004817020040747UMI1000001001,상수원보호구역,경상남도,진주시,2004,0747,35.1547733,128.0043006
53100004817020041038UMI1000001001,상수원보호구역,경상남도,진주시,2004,1038,35.2372073,127.9865849
53100004817020040911UMI1000001001,상수원보호구역,경상남도,진주시,2004,0911,35.2470009,127.994146
53100004817020040349UMI1000001001,상수원보호구역,경상남도,진주시,2004,0349,35.1699639,128.0127406
53100004817020040000UMI1000001189,상수원보호구역,경상남도,진주시,2004,0000,35.2361138,127.9834679
53100004817020040652UMI1000001001,상수원보호구역,경상남도,진주시,2004,0652,35.1992052,128.0137506
53100004817020041006UMI1000001001,상수원보호구역,경상남도,진주시,2004,1006,35.2572368,127.9956786
53100004817020040124UMI1000001001,상수원보호구역,경상남도,진주시,2004,0124,35.1874483,127.967807
53100004817020041035UMI1000001001,상수원보호구역,경상남도,진주시,2004,1035,35.2333939,127.9730612
53100004817020040014UMI1000001001,상수원보호구역,경상남도,진주시,2004,0014,35.1592503,127.9741093
53100004817020041162UMI1000001001,상수원보호구역,경상남도,진주시,2004,1162,35.2311077,127.9690227
53100004817020040000UMI1000001193,상수원보호구역,경상남도,진주시,2004,0000,35.2316705,127.9760475
53100004817020040435UMI1000001001,상수원보호구역,경상남도,진주시,2004,0435,35.1742087,128.033885
53100004817020040001UMI1000002001,상수원보호구역,경상남도,진주시,2004,0001,35.1708025,128.0362153
53100004817020040756UMI1000001001,상수원보호구역,경상남도,진주시,2004,0756,35.1598143,127.9898619
53100004817020040643UMI1000001001,상수원보호구역,경상남도,진주시,2004,0643,35.2525449,127.9852983
53100004817020040947UMI1000001001,상수원보호구역,경상남도,진주시,2004,0947,35.2011651,127.962476
53100004817020040406UMI1000001001,상수원보호구역,경상남도,진주시,2004,0406,35.1681256,128.0358923
53100004817020041210UMI1000001001,상수원보호구역,경상남도,진주시,2004,1210,35.1857505,127.974288
53100004817020040847UMI1000001001,상수원보호구역,경상남도,진주시,2004,0847,35.1780619,127.9884092
53100004817020041078UMI1000001001,상수원보호구역,경상남도,진주시,2004,1078,35.2155563,127.9705235
53100004817019840000UMI1000001332,상수원보호구역,경상남도,진주시,1984,0000,35.1652734,128.0139595
53100004817020040625UMI1000001001,상수원보호구역,경상남도,진주시,2004,0625,35.2386834,127.9863882
53100004817020040383UMI1000001001,상수원보호구역,경상남도,진주시,2004,0383,35.1710438,128.0191721
53100004817019840000UMI1000001294,상수원보호구역,경상남도,진주시,1984,0000,35.188794,128.0078804
15000004817000000000UMI1000000227,상수원보호구역,경상남도,진주시,0000,0000,35.1680355,128.012276
53100004817020040800UMI1000001001,상수원보호구역,경상남도,진주시,2004,0800,35.202389,127.9707933
53100004817020040000UMI1000001172,상수원보호구역,경상남도,진주시,2004,0000,35.2283872,127.9620443
53100004817020040695UMI1000001001,상수원보호구역,경상남도,진주시,2004,0695,35.1874162,128.0150554
53100004817020040150UMI1000001001,상수원보호구역,경상남도,진주시,2004,0150,35.1739408,127.9883666
53100004817019840000UMI1000001260,상수원보호구역,경상남도,진주시,1984,0000,35.1974114,127.9794434
15000004817000000000UMI1000000165,상수원보호구역,경상남도,진주시,0000,0000,35.1762916,128.0064625
53100004817020040874UMI1000001001,상수원보호구역,경상남도,진주시,2004,0874,35.1717086,127.9776397
53100004817020040000UMI1000001082,상수원보호구역,경상남도,진주시,2004,0000,35.25681,127.9952407
53100004817020040450UMI1000001001,상수원보호구역,경상남도,진주시,2004,0450,35.161381,127.9994703
53100004817020040336UMI1000001001,상수원보호구역,경상남도,진주시,2004,0336,35.1675395,128.0091776
